,time,FIPS,predicted
0,1,29095,0.0
1,2,29095,0.0
2,3,29095,0.0
3,4,29095,0.0
4,5,29095,0.0
5,6,29095,0.0
6,7,29095,0.0
7,8,29095,0.0
8,9,29095,0.0
9,10,29095,0.0
10,11,29095,0.0
11,12,29095,0.0
12,13,29095,0.0
13,14,29095,0.0
14,15,29095,0.0
15,16,29095,0.0
16,17,29095,0.0
17,18,29095,0.0
18,19,29095,0.0
19,20,29095,0.0
20,21,29095,4.314896018833829e-14
21,22,29095,5.0099423461449286e-08
22,23,29095,0.0016775961087832783
23,24,29095,1.7868315352031576
24,25,29095,74.17555739861203
25,26,29095,235.49857472683695
26,27,29095,258.9418205624877
27,28,29095,259.1008173098773
28,29,29095,259.10085470056356
29,30,29095,259.10085470083294
30,31,29095,259.10085470083294
31,32,29095,259.10085470083294
32,33,29095,259.10085470083294
33,34,29095,259.10085470083294
34,35,29095,259.10085470083294
35,36,29095,259.10085470083294
36,37,29095,259.10085470083294
37,38,29095,259.10085470083294
38,39,29095,259.10085470083294
39,40,29095,259.10085470083294
40,41,29095,259.10085470083294
41,42,29095,259.10085470083294
42,43,29095,259.10085470083294
43,44,29095,259.10085470083294
44,45,29095,259.10085470083294
45,46,29095,259.10085470083294
46,47,29095,259.10085470083294
47,48,29095,259.10085470083294
48,49,29095,259.10085470083294
49,50,29095,259.10085470083294
50,51,29095,259.10085470083294
51,52,29095,259.10085470083294
52,53,29095,259.10085470083294
53,54,29095,259.10085470083294
54,55,29095,259.10085470083294
55,56,29095,259.10085470083294
56,1,29183,2.1730613869938322
57,2,29183,2.9060443613157627
58,3,29183,3.8509529843759216
59,4,29183,5.056949977608834
60,5,29183,6.580873336664865
61,6,29183,8.487389608524898
62,7,29183,10.848837661495168
63,8,29183,13.744692361781746
64,9,29183,17.260585200318502
65,10,29183,21.48683325817346
66,11,29183,26.516449288863193
67,12,29183,32.4426338450678
68,13,29183,39.35578427534445
69,14,29183,47.340093285007924
70,15,29183,56.46984908543575
71,16,29183,66.80558683954531
72,17,29183,78.39027366640089
73,18,29183,91.24573334730643
74,19,29183,105.36952883031005
75,20,29183,120.73251809296673
76,21,29183,137.27728036736517
77,22,29183,154.91757495275692
78,23,29183,173.53894512354228
79,24,29183,193.00051776919304
80,25,29183,213.1379795099583
81,26,29183,233.76763727837053
82,27,29183,254.69140147480826
83,28,29183,275.7024685547932
84,29,29183,296.5914324944269
85,30,29183,317.1525251263939
86,31,29183,337.1896764344464
87,32,29183,356.5220983276986
88,33,29183,374.9891280870697
89,34,29183,392.45411771437307
90,35,29183,408.807218486455
91,36,29183,423.9669807832418
92,37,29183,437.8807619247022
93,38,29183,450.5240036436239
94,39,29183,461.89850092120395
95,40,29183,472.0298312951858
96,41,29183,480.96414587430587
97,42,29183,488.7645391274314
98,43,29183,495.50721450059024
99,44,29183,501.27764877267975
100,45,29183,506.1669324975906
101,46,29183,510.268430222173
102,47,29183,513.6748659766538
103,48,29183,516.4759002456054
104,49,29183,518.7562272648817
105,50,29183,520.5941884468363
106,51,29183,522.0608706633382
107,52,29183,523.2196378981663
108,53,29183,524.1260315919092
109,54,29183,524.8279684236629
110,55,29183,525.366163441848
111,56,29183,525.774710230435
112,1,34003,109.05544219055942
113,2,34003,139.20595894524936
114,3,34003,176.40518080725158
115,4,34003,221.9336467312224
116,5,34003,277.2103642412491
117,6,34003,343.78542032819587
118,7,34003,423.3263941807747
119,8,34003,517.5978762126412
120,9,34003,628.4336183080451
121,10,34003,757.7011334448632
122,11,34003,907.2589225675467
123,12,34003,1078.9069201036252
124,13,34003,1274.331197727353
125,14,34003,1495.0444238242017
126,15,34003,1742.324013787012
127,16,34003,2017.1502910004544
128,17,34003,2320.147276750673
129,18,34003,2651.5289080602847
130,19,34003,3011.0535193539054
131,20,34003,3397.989298497482
132,21,34003,3811.093131953708
133,22,34003,4248.604791342633
134,23,34003,4708.257801135484
135,24,34003,5187.307593552732
136,25,34003,5682.576742023635
137,26,34003,6190.516217322363
138,27,34003,6707.280784284024
139,28,34003,7228.815906314878
140,29,34003,7750.95290080145
141,30,34003,8269.50863438573
142,31,34003,8780.385794959726
143,32,34003,9279.66974509536
144,33,34003,9763.718151761603
145,34,34003,10229.23998602913
146,35,34003,10673.361065785679
147,36,34003,11093.674033803078
148,37,34003,11488.271473537265
149,38,34003,11855.761711850178
150,39,34003,12195.267687152216
151,40,34003,12506.4100229151
152,41,34003,12789.276097317306
153,42,34003,13044.377407582568
154,43,34003,13272.59787215297
155,44,34003,13475.135887789354
156,45,34003,13653.442966891935
157,46,34003,13809.161638474365
158,47,34003,13944.065028573197
159,48,34003,14060.000172557026
160,49,34003,14158.83668589304
161,50,34003,14242.42196464962
162,51,34003,14312.543633236395
163,52,34003,14370.899531172563
164,53,34003,14419.075153931777
165,54,34003,14458.528149675607
166,55,34003,14490.579232045638
167,56,34003,14516.408701220429
168,1,34013,67.00312247293056
169,2,34013,86.12385764043613
170,3,34013,109.92026818310241
171,4,34013,139.30645653178138
172,5,34013,175.31453957729565
173,6,34013,219.09513707523894
174,7,34013,271.913909876404
175,8,34013,335.14342747973745
176,9,34013,410.2497279650373
177,10,34013,498.7730722838726
178,11,34013,602.3025911413088
179,12,34013,722.4447743092268
180,13,34013,860.7860526375846
181,14,34013,1018.8500608748279
182,15,34013,1198.0505285000802
183,16,34013,1399.641105698384
184,17,34013,1624.6637687413759
185,18,34013,1873.8977379688074
186,19,34013,2147.8110569680193
187,20,34013,2446.5171002289617
188,21,34013,2769.7382796187812
189,22,34013,3116.7790949017494
190,23,34013,3486.5104156701054
191,24,34013,3877.3664960588576
192,25,34013,4287.355723725054
193,26,34013,4714.085514283341
194,27,34013,5154.801113292053
195,28,34013,5606.437397673439
196,29,34013,6065.682118308174
197,30,34013,6529.048437068158
198,31,34013,6992.954123526651
199,32,34013,7453.8044218653195
200,33,34013,7908.0754013122705
201,34,34013,8352.394577379771
202,35,34013,8783.615738026794
203,36,34013,9198.885218515894
204,37,34013,9595.697319949179
205,38,34013,9971.937128725534
206,39,34013,10325.90963013982
207,40,34013,10656.354677947149
208,41,34013,10962.448041301366
209,42,34013,11243.78936200743
210,43,34013,11500.378384846428
211,44,34013,11732.581245753274
212,45,34013,11941.08889976801
213,46,34013,12126.869935463494
214,47,34013,12291.120056880507
215,48,34013,12435.210428203443
216,49,34013,12560.636887687557
217,50,34013,12668.971767829342
218,51,34013,12761.819733371556
219,52,34013,12840.778693040316
220,53,34013,12907.406479258863
221,54,34013,12963.193643973484
222,55,34013,13009.542405680615
223,56,34013,13047.751515616768
224,1,34017,56.721727044806784
225,2,34017,73.23859279659648
226,3,34017,93.91028878993696
227,4,34017,119.5862085004264
228,5,34017,151.2364725644136
229,6,34017,189.95600428031346
230,7,34017,236.96535843096584
231,8,34017,293.6075310491362
232,9,34017,361.34000713866357
233,10,34017,441.72138239989874
234,11,34017,536.3920290193071
235,12,34017,647.0484669208112
236,13,34017,775.4113491144846
237,14,34017,923.1872670949657
238,15,34017,1092.0249190814502
239,16,34017,1283.466544985546
240,17,34017,1498.8958978113378
241,18,34017,1739.4843688381998
242,19,34017,2006.1371884885457
243,20,34017,2299.4418610000607
244,21,34017,2619.6211353210906
245,22,34017,2966.4928471824906
246,23,34017,3339.438873966025
247,24,34017,3737.385218159919
248,25,34017,4158.794878974914
249,26,34017,4601.674696566211
250,27,34017,5063.596779992482
251,28,34017,5541.734487596211
252,29,34017,6032.912252596232
253,30,34017,6533.667877299894
254,31,34017,7040.325297840748
255,32,34017,7549.075287409431
256,33,34017,8056.061154476783
257,34,34017,8557.466230859021
258,35,34017,9049.599850222483
259,36,34017,9528.978597135301
260,37,34017,9992.399854674599
261,38,34017,10437.005078225644
262,39,34017,10860.330747871052
263,40,34017,11260.345567299812
264,41,34017,11635.473144075844
265,42,34017,11984.600063043112
266,43,34017,12307.069911415585
267,44,34017,12602.66439455398
268,45,34017,12871.57316587166
269,46,34017,13114.354361256432
270,47,34017,13331.888065562189
271,48,34017,13525.325043219962
272,49,34017,13696.033042767698
273,50,34017,13845.542849628446
274,51,34017,13975.496032210513
275,52,34017,14087.596026706642
276,53,34017,14183.56386101051
277,54,34017,14265.099452969072
278,55,34017,14333.849055874813
279,56,34017,14391.379084532715
280,1,34019,11.007281796770023
281,2,34019,13.010879710907398
282,3,34019,15.31486732907468
283,4,34019,17.95180749388892
284,5,34019,20.95560722640064
285,6,34019,24.361196253925232
286,7,34019,28.204140345210174
287,8,34019,32.52019026603717
288,9,34019,37.34476920887005
289,10,34019,42.71240375766865
290,11,34019,48.65610575689416
291,12,34019,55.20671478259821
292,13,34019,62.3922131734051
293,14,34019,70.23702767301495
294,15,34019,78.7613335631565
295,16,34019,87.98037862762179
296,17,34019,97.90384529138366
297,18,34019,108.53526974258583
298,19,34019,119.87153670469401
299,20,34019,131.90246773769306
300,21,34019,144.6105194922377
301,22,34019,157.97060622820655
302,23,34019,171.95005817751723
303,24,34019,186.50872404806054
304,25,34019,201.5992222268085
305,26,34019,217.16734116598863
306,27,34019,233.1525851674994
307,28,34019,249.4888574727826
308,29,34019,266.1052683812307
309,30,34019,282.92705222315703
310,31,34019,299.87657355915053
311,32,34019,316.8744001069225
312,33,34019,333.84041772806694
313,34,34019,350.6949614309844
314,35,34019,367.3599358203551
315,36,34019,383.75989877016735
316,37,34019,399.823083301778
317,38,34019,415.4823346601873
318,39,34019,430.675942316561
319,40,34019,445.3483499698367
320,41,34019,459.4507304383675
321,42,34019,472.94141647074093
322,43,34019,485.7861828008076
323,44,34019,497.95837906182976
324,45,34019,509.43891730102104
325,46,34019,520.2161216542831
326,47,34019,530.2854511266019
327,48,34019,539.6491092753131
328,49,34019,548.3155568376546
329,50,34019,556.2989449362201
330,51,34019,563.618487421098
331,52,34019,570.2977911787428
332,53,34019,576.364162893739
333,54,34019,581.847909851306
334,55,34019,586.7816509938855
335,56,34019,591.199652685241
336,1,34021,0.0
337,2,34021,0.0
338,3,34021,0.0
339,4,34021,0.0
340,5,34021,0.0
341,6,34021,0.0
342,7,34021,0.0
343,8,34021,0.0
344,9,34021,0.0
345,10,34021,0.0
346,11,34021,0.0
347,12,34021,0.0
348,13,34021,0.0
349,14,34021,0.0
350,15,34021,0.0
351,16,34021,0.0
352,17,34021,0.0
353,18,34021,0.0
354,19,34021,0.0
355,20,34021,0.0
356,21,34021,2.4433028682463267e-12
357,22,34021,1.9040419808562535e-06
358,23,34021,0.044820272585932
359,24,34021,33.960534370485924
360,25,34021,1040.8033213140438
361,26,34021,2747.8485164977155
362,27,34021,2933.403495604181
363,28,34021,2934.308619579055
364,29,34021,2934.308769862553
365,30,34021,2934.308769863312
366,31,34021,2934.308769863312
367,32,34021,2934.308769863312
368,33,34021,2934.308769863312
369,34,34021,2934.308769863312
370,35,34021,2934.308769863312
371,36,34021,2934.308769863312
372,37,34021,2934.308769863312
373,38,34021,2934.308769863312
374,39,34021,2934.308769863312
375,40,34021,2934.308769863312
376,41,34021,2934.308769863312
377,42,34021,2934.308769863312
378,43,34021,2934.308769863312
379,44,34021,2934.308769863312
380,45,34021,2934.308769863312
381,46,34021,2934.308769863312
382,47,34021,2934.308769863312
383,48,34021,2934.308769863312
384,49,34021,2934.308769863312
385,50,34021,2934.308769863312
386,51,34021,2934.308769863312
387,52,34021,2934.308769863312
388,53,34021,2934.308769863312
389,54,34021,2934.308769863312
390,55,34021,2934.308769863312
391,56,34021,2934.308769863312
392,1,34023,140.06144170773743
393,2,34023,172.69619342364817
