,time,FIPS,predicted
0,1,29095,0.0
1,2,29095,0.0
2,3,29095,0.0
3,4,29095,0.0
4,5,29095,0.0
5,6,29095,0.0
6,7,29095,0.0
7,8,29095,0.0
8,9,29095,0.0
9,10,29095,0.0
10,11,29095,0.0
11,12,29095,0.0
12,13,29095,0.0
13,14,29095,0.0
14,15,29095,4.708324121723672e-13
15,16,29095,4.4574160104627847e-10
16,17,29095,1.8993994626797582e-07
17,18,29095,3.610873680096112e-05
18,19,29095,0.0030819914609499692
19,20,29095,0.1192610072009708
20,21,29095,2.125308176883051
21,22,29095,17.914703863175987
22,23,29095,74.94025025349592
23,24,29095,169.92150600982978
24,25,29095,243.04276273474636
25,26,29095,269.0311806288988
26,27,29095,273.2773944808234
27,28,29095,273.59434981747233
28,29,29095,273.6050835685098
29,30,29095,273.60524739400506
30,31,29095,273.60524851443904
31,32,29095,273.60524851785664
32,33,29095,273.60524851786124
33,34,29095,273.60524851786124
34,35,29095,273.60524851786124
35,36,29095,273.60524851786124
36,37,29095,273.60524851786124
37,38,29095,273.60524851786124
38,39,29095,273.60524851786124
39,40,29095,273.60524851786124
40,41,29095,273.60524851786124
41,42,29095,273.60524851786124
42,43,29095,273.60524851786124
43,44,29095,273.60524851786124
44,45,29095,273.60524851786124
45,46,29095,273.60524851786124
46,47,29095,273.60524851786124
47,48,29095,273.60524851786124
48,49,29095,273.60524851786124
49,50,29095,273.60524851786124
50,51,29095,273.60524851786124
51,52,29095,273.60524851786124
52,53,29095,273.60524851786124
53,54,29095,273.60524851786124
54,55,29095,273.60524851786124
55,56,29095,273.60524851786124
56,1,29183,64.93263391867325
57,2,29183,70.33869121105297
58,3,29183,76.05097907636303
59,4,29183,82.0729036976945
60,5,29183,88.40658684628389
61,6,29183,95.05278277997617
62,7,29183,102.01080379310922
63,8,29183,109.27845573520159
64,9,29183,116.85198473941986
65,10,29183,124.72603630121834
66,11,29183,132.89362772354443
67,12,29183,141.346134798891
68,13,29183,150.07329343206453
69,14,29183,159.06321672315755
70,15,29183,168.30242783065344
71,16,29183,177.77590872306928
72,17,29183,187.467164707631
73,18,29183,197.35830440003747
74,19,29183,207.43013457447924
75,20,29183,217.66226911191634
76,21,29183,228.0332510514006
77,22,29183,238.5206865480874
78,23,29183,249.10138935647794
79,24,29183,259.7515342920665
80,25,29183,270.44681798227026
81,26,29183,281.16262510119077
82,27,29183,291.8741981947821
83,28,29183,302.55680914519087
84,29,29183,313.1859302965899
85,30,29183,323.73740327028725
86,31,29183,334.1876035341581
87,32,29183,344.51359885973017
88,33,29183,354.69329989815554
89,34,29183,364.7056012318014
90,35,29183,374.5305114087241
91,36,29183,384.1492706398016
92,37,29183,393.54445502931276
93,38,29183,402.7000664154802
94,39,29183,411.6016071138979
95,40,29183,420.23613907967325
96,41,29183,428.5923272293194
97,42,29183,436.66046688677164
98,43,29183,444.43249553536657
99,44,29183,451.90198926544315
100,45,29183,459.0641445019369
101,46,29183,465.9157457748692
102,47,29183,472.45512045534196
103,48,29183,478.6820815183829
104,49,29183,484.5978595100984
105,50,29183,490.2050249889699
106,51,29183,495.50740277919203
107,52,29183,500.5099794176252
108,53,29183,505.21880519566145
109,54,29183,509.6408921939689
110,55,29183,513.7841096830025
111,56,29183,517.6570782170127
112,1,34003,33.5736939725897
113,2,34003,49.67787805146689
114,3,34003,72.41145703034994
115,4,34003,103.98424755184516
116,5,34003,147.1236572062616
117,6,34003,205.11344320610507
118,7,34003,281.8045310239159
119,8,34003,381.5870303651397
120,9,34003,509.3132180761123
121,10,34003,670.1634226837552
122,11,34003,869.4506133861946
123,12,34003,1112.3650104618166
124,13,34003,1403.666853051213
125,14,34003,1747.3429415992905
126,15,34003,2146.2498095567043
127,16,34003,2601.7722999111825
128,17,34003,3113.529840452764
129,18,34003,3679.1629129945227
130,19,34003,4294.228541548414
131,20,34003,4952.226039732499
132,21,34003,5644.763305897503
133,22,34003,6361.860753305244
134,23,34003,7092.376073046849
135,24,34003,7824.520233493627
136,25,34003,8546.425152369178
137,26,34003,9246.717728460275
138,27,34003,9915.054207546751
139,28,34003,10542.573283391286
140,29,34003,11122.235267939588
141,30,34003,11649.026849462974
142,31,34003,12120.024727915536
143,32,34003,12534.32497492715
144,33,34003,12892.856664702882
145,34,34003,13198.106905955075
146,35,34003,13453.78916415238
147,36,34003,13664.487583563083
148,37,34003,13835.307327220427
149,38,34003,13971.555583992562
150,39,34003,14078.470903943384
151,40,34003,14161.011009249103
152,41,34003,14223.702152003278
153,42,34003,14270.547173101333
154,43,34003,14304.98508190281
155,44,34003,14329.89235483204
156,45,34003,14347.61512714695
157,46,34003,14360.021739177731
158,47,34003,14368.566320832819
159,48,34003,14374.355866192775
160,49,34003,14378.215216183102
161,50,34003,14380.746261437092
162,51,34003,14382.379319740565
163,52,34003,14383.415939536319
164,53,34003,14384.063310664755
165,54,34003,14384.461054236139
166,55,34003,14384.701473363924
167,56,34003,14384.844445321538
168,1,34013,48.176906534942205
169,2,34013,64.51976783571303
170,3,34013,85.63887099915651
171,4,34013,112.66544030183114
172,5,34013,146.9165339363237
173,6,34013,189.90243544859587
174,7,34013,243.3275805463719
175,8,34013,309.0832883363693
176,9,34013,389.2306590323339
177,10,34013,485.97223968707056
178,11,34013,601.6114603117991
179,12,34013,738.4994075883092
180,13,34013,898.9692199028327
181,14,34013,1085.2592262370956
182,15,34013,1299.4268656930822
183,16,34013,1543.2563513371294
184,17,34013,1818.1639065867776
185,18,34013,2125.1051229106206
186,19,34013,2464.489483343873
187,20,34013,2836.107295637257
188,21,34013,3239.0741279564745
189,22,34013,3671.797310666299
190,23,34013,4131.968162939529
191,24,34013,4616.58236011518
192,25,34013,5121.989348079411
193,26,34013,5643.970035169053
194,27,34013,6177.840272602579
195,28,34013,6718.576004590072
196,29,34013,7260.954560854471
197,30,34013,7799.70549457259
198,31,34013,8329.66372855839
199,32,34013,8845.917616888266
200,33,34013,9343.944871555143
201,34,34013,9819.730114586902
202,35,34013,10269.859025939762
203,36,34013,10691.585564298744
204,37,34013,11082.870417453338
205,38,34013,11442.390557249684
206,39,34013,11769.521400622047
207,40,34013,12064.294497535058
208,41,34013,12327.334788516553
209,42,34013,12559.782240097002
210,43,34013,12763.203051595849
211,44,34013,12939.495640582169
212,45,34013,13090.796295697037
213,46,34013,13219.388795852656
214,47,34013,13327.621510221963
215,48,34013,13417.834595977149
216,49,34013,13492.298980348978
217,50,34013,13553.167921232227
218,51,34013,13602.441143328357
219,52,34013,13641.940885027077
220,53,34013,13673.298687707644
221,54,34013,13697.951420246478
222,55,34013,13717.144849574704
223,56,34013,13731.943024745517
224,1,34017,51.13701483725074
225,2,34017,67.23974284363884
226,3,34017,87.73114991542172
227,4,34017,113.5880103594819
228,5,34017,145.94078178695133
229,6,34017,186.08092109739584
230,7,34017,235.46397569462937
231,8,34017,295.70727006865485
232,9,34017,368.58102797900517
233,10,34017,455.9918708045308
234,11,34017,559.9578241035143
235,12,34017,682.574252840485
236,13,34017,825.9705300789273
237,14,34017,992.2577151007505
238,15,34017,1183.4680568998774
239,16,34017,1401.4877208977987
240,17,34017,1647.9847255612915
241,18,34017,1924.3346301065558
242,19,34017,2231.5469898162896
243,20,34017,2570.1959467407933
244,21,34017,2940.358509643769
245,22,34017,3341.564064945661
246,23,34017,3772.7584289615334
247,24,34017,4232.285294841082
248,25,34017,4717.8872563381465
249,26,34017,5226.727733657515
250,27,34017,5755.434129671442
251,28,34017,6300.161467336031
252,29,34017,6856.674670581411
253,30,34017,7420.446625171706
254,31,34017,7986.7682652819
255,32,34017,8550.866240255407
256,33,34017,9108.02327513219
257,34,34017,9653.696180948988
258,35,34017,10183.626608330185
259,36,34017,10693.940060193972
260,37,34017,11181.229354983656
261,38,34017,11642.619610860964
262,39,34017,12075.812840082244
263,40,34017,12479.111329408865
264,41,34017,12851.420062919777
265,42,34017,13192.229448096861
266,43,34017,13501.580474149745
267,44,34017,13780.015116647282
268,45,34017,14028.515274639873
269,46,34017,14248.433773334276
270,47,34017,14441.420991984836
271,48,34017,14609.350503202382
272,49,34017,14754.246768700923
273,50,34017,14878.217468242465
274,51,34017,14983.3924880036
275,52,34017,15071.871006731788
276,53,34017,15145.67753448603
277,54,34017,15206.727214944947
278,55,34017,15256.80022571645
279,56,34017,15297.524720409632
280,1,34019,110.6198560540083
281,2,34019,116.16349731752737
282,3,34019,121.87945851616713
283,4,34019,127.7666622585038
284,5,34019,133.8236193994419
285,6,34019,140.0484218872916
286,7,34019,146.43873725961276
287,8,34019,152.9918048648699
288,9,34019,159.70443387762495
289,10,34019,166.57300316489935
290,11,34019,173.59346305053205
291,12,34019,180.76133901292565
292,13,34019,188.07173733959303
293,14,34019,195.5193527494846
294,15,34019,203.09847798128988
295,16,34019,210.80301533287798
296,17,34019,218.62649012386797
297,18,34019,226.56206604013136
298,19,34019,234.60256230592333
299,20,34019,242.74047261644822
300,21,34019,250.96798575109673
301,22,34019,259.27700777546414
302,23,34019,267.65918572868304
303,24,34019,276.1059326816902
304,25,34019,284.6084540418973
305,26,34019,293.15777497044223
306,27,34019,301.74476876986006
307,28,34019,310.3601860926987
308,29,34019,318.9946848153958
309,30,34019,327.63886041668087
310,31,34019,336.28327669593057
311,32,34019,344.9184966643084
312,33,34019,353.53511344020666
313,34,34019,362.1237809804696
314,35,34019,370.67524448013654
315,36,34019,379.1803702759653
316,37,34019,387.63017509277853
317,38,34019,396.01585447666054
318,39,34019,404.3288102651878
319,40,34019,412.560676952133
320,41,34019,420.7033468123702
321,42,34019,428.748993661957
322,43,34019,436.6900951384741
323,44,34019,444.5194533975851
324,45,34019,452.2302141333197
325,46,34019,459.8158838416884
326,47,34019,467.2703452597835
327,48,34019,474.58787092540297
328,49,34019,481.763134815324
329,50,34019,488.7912220335467
330,51,34019,495.66763653400346
331,52,34019,502.3883068752678
332,53,34019,508.94959001759844
333,54,34019,515.3482731851078
334,55,34019,521.5815738278485
335,56,34019,527.6471377300767
336,1,34021,0.0
337,2,34021,0.0
338,3,34021,0.0
339,4,34021,0.0
340,5,34021,0.0
341,6,34021,0.0
342,7,34021,0.0
343,8,34021,0.0
344,9,34021,0.0
345,10,34021,0.0
346,11,34021,0.0
347,12,34021,0.0
348,13,34021,0.0
349,14,34021,0.0
350,15,34021,8.126536750434769e-12
351,16,34021,7.53745313088103e-09
352,17,34021,3.0723240821502413e-06
353,18,34021,0.000558873739824118
354,19,34021,0.045665292116955754
355,20,34021,1.6928352038740202
356,21,34021,28.93330159004721
357,22,34021,234.37194810505667
358,23,34021,945.5641420242671
359,24,34021,2081.2543029990748
360,25,34021,2919.5480187810635
361,26,34021,3205.181383274566
362,27,34021,3249.910709009334
363,28,34021,3253.109637269297
364,29,34021,3253.2133964726445
365,30,34021,3253.2149128055257
366,31,34021,3253.214922732818
367,32,34021,3253.2149227617992
368,33,34021,3253.214922761837
369,34,34021,3253.214922761837
370,35,34021,3253.214922761837
371,36,34021,3253.214922761837
372,37,34021,3253.214922761837
373,38,34021,3253.214922761837
374,39,34021,3253.214922761837
375,40,34021,3253.214922761837
376,41,34021,3253.214922761837
377,42,34021,3253.214922761837
378,43,34021,3253.214922761837
379,44,34021,3253.214922761837
380,45,34021,3253.214922761837
381,46,34021,3253.214922761837
382,47,34021,3253.214922761837
383,48,34021,3253.214922761837
384,49,34021,3253.214922761837
385,50,34021,3253.214922761837
386,51,34021,3253.214922761837
387,52,34021,3253.214922761837
388,53,34021,3253.214922761837
389,54,34021,3253.214922761837
